iter	Passed	Remaining
412	3429	4874
413	3436	4864
414	3443	4854
415	3449	4843
416	3458	4835
417	3465	4825
418	3472	4815
419	3479	4804
420	3485	4794
421	3493	4784
422	3499	4773
423	3507	4764
424	3513	4753
425	3521	4744
426	3528	4735
427	3537	4727
428	3545	4719
429	3556	4714
430	3565	4707
431	3574	4700
432	3583	4692
433	3592	4684
434	3599	4675
435	3607	4667
436	3617	4659
437	3627	4654
438	3637	4648
439	3646	4641
440	3655	4633
441	3664	4626
442	3673	4619
443	3682	4612
444	3690	4602
445	3697	4593
446	3705	4584
447	3713	4574
448	3721	4567
449	3729	4558
450	3738	4550
451	3745	4540
452	3753	4532
453	3760	4522
454	3767	4512
455	3774	4502
456	3781	4493
457	3789	4484
458	3796	4474
459	3804	4466
460	3811	4456
461	3819	4448
462	3826	4438
463	3834	4429
464	3841	4420
465	3851	4413
466	3859	4404
467	3867	4396
468	3874	4386
469	3882	4377
470	3889	4368
471	3896	4359
472	3905	4351
473	3912	4341
474	3920	4333
475	3927	4323
476	3936	4316
477	3943	4306
478	3951	4298
479	3959	4289
480	3968	4282
481	3976	4273
482	3984	4264
483	3992	4256
484	4000	4247
485	4006	4237
486	4014	4229
487	4021	4219
488	4029	4210
489	4037	4202
490	4045	4193
491	4051	4183
492	4058	4173
493	4065	4164
494	4072	4154
495	4080	4145
496	4086	4136
497	4093	4126
498	4100	4117
499	4107	4107
500	4115	4099
501	4121	4088
502	4129	4080
503	4136	4071
504	4144	4062
505	4151	4052
506	4158	4043
507	4165	4034
508	4172	4024
509	4179	4015
510	4186	4006
511	4194	3997
512	4200	3987
513	4207	3978
514	4214	3968
515	4220	3958
516	4227	3949
517	4234	3940
518	4242	3931
519	4248	3921
520	4256	3913
521	4263	3904
522	4270	3894
523	4277	3885
524	4283	3875
525	4291	3867
526	4298	3858
527	4305	3849
528	4313	3840
529	4319	3830
530	4327	3822
531	4334	3813
532	4342	3804
533	4348	3794
534	4355	3785
535	4362	3776
536	4369	3767
537	4377	3759
538	4384	3749
539	4392	3741
540	4400	3733
541	4408	3725
542	4416	3716
543	4424	3708
544	4432	3700
545	4440	3692
546	4448	3684
547	4457	3676
548	4465	3668
549	4474	3660
550	4481	3651
551	4490	3644
552	4497	3635
553	4505	3627
554	4513	3618
555	4520	3609
556	4528	3601
557	4535	3592
558	4543	3584
559	4551	3576
560	4560	3568
561	4567	3559
562	4575	3551
563	4582	3542
564	4591	3534
565	4597	3525
566	4605	3516
567	4612	3507
568	4621	3500
569	4628	3491
570	4636	3483
571	4643	3474
572	4651	3466
573	4659	3458
574	4667	3449
575	4674	3440
576	4682	3432
577	4690	3424
578	4697	3415
579	4704	3406
580	4711	3398
581	4720	3390
582	4728	3382
583	4736	3373
584	4742	3364
585	4751	3356
586	4759	3348
587	4766	3339
588	4773	3330
589	4781	3322
590	4788	3314
591	4795	3305
592	4803	3296
593	4809	3287
594	4817	3279
595	4825	3270
596	4833	3262
597	4839	3253
598	4847	3244
599	4854	3236
600	4860	3227
601	4867	3218
602	4874	3209
603	4882	3201
604	4889	3192
605	4896	3183
606	4903	3174
607	4909	3165
608	4917	3157
609	4924	3148
610	4932	3140
611	4939	3131
612	4948	3124
613	4954	3114
614	4961	3106
615	4969	3097
616	4975	3088
617	4983	3080
618	4990	3071
619	4998	3063
620	5004	3054
621	5012	3046
622	5020	3037
623	5027	3029
624	5034	3020
625	5041	3012
626	5049	3003
627	5056	2995
628	5063	2986
629	5071	2978
630	5078	2970
631	5085	2961
632	5093	2952
633	5101	2944
634	5108	2936
635	5117	2928
636	5124	2920
637	5131	2911
638	5138	2902
639	5147	2895
640	5155	2887
641	5163	2879
642	5170	2870
643	5178	2862
644	5186	2854
645	5194	2846
646	5202	2838
647	5210	2830
648	5218	2822
649	5226	2814
650	5233	2805
651	5241	2797
652	5249	2789
653	5257	2781
654	5265	2773
655	5273	2765
656	5281	2757
657	5288	2748
658	5296	2740
659	5304	2732
660	5312	2724
661	5320	2716
662	5328	2708
663	5334	2699
664	5344	2692
665	5351	2683
666	5359	2675
667	5366	2667
668	5374	2659
669	5382	2651
670	5391	2643
671	5399	2635
672	5407	2627
673	5415	2619
674	5422	2610
675	5429	2602
