Accel_Y_min,Accel_Y_var,Accel_Z_mean,Accel_Z_max,Accel_Z_var,Gyro_X_mean,Gyro_X_var,Gyro_Y_mean,Gyro_Z_var,Roll_mean,Roll_max,Pitch_max,Yaw_mean,Yaw_min,Gyro_Y_max,Accel_Y_rolling_mean,Gyro_Y_var,Accel_Y_mean,Roll_min,Pitch_min,Roll_var,Yaw_var,Pitch_mean,Accel_X_mean,Yaw_var_log,Label
-1.289419,0.6488269124339514,9.58442214,11.656111,0.8675602154812655,-0.1804607,0.1218783060344183,0.06102832,0.1702414870739281,-39.4744946,-30.956877,3.466204,1.340979,-3.285511,0.995042,-9.675102578290456,0.17029818556712,0.67450326,-51.027298,-9.824556,66.43764292316769,4.830688891709059,-4.53088072,-0.08568188,1.7631351566250812,Stop
-6.301895,4.859066979238993,5.69652996,19.00448,21.282698963824856,-0.56211964,1.814722680415255,1.33296968,1.0300173066807574,-55.72153602,-47.005861,31.730968,48.10755778,-0.072174,5.06282,-9.675102578290456,2.565425596524629,-2.45768516,-64.109286,-8.37674,25.912506406378817,1209.9285427386385,12.54509152,-6.3009731,7.099142734990187,Stop
-11.821068,6.893421498401808,0.3474214999999999,4.424948,0.9089224333811528,-0.27381704,0.3929905420737535,-0.35874128,1.0309237142281371,-71.06391492,-60.010225,82.017635,85.89836608,75.706303,1.656861,-2.7027486,0.7845153245950628,-6.3250639,-93.782793,15.212164,78.58976309771548,22.230034764500413,44.52597308,-6.52852084,3.1454460433158693,Turn Right
-21.012105,4.394667206525795,-0.62747116,1.174009,0.2796052980641778,-0.1430032,0.105744850838653,-0.3891811599999999,0.0220914780972167,-150.75819024,-107.425113,84.035616,124.81711686,91.893812,0.458702,-6.26394702,0.0452130265847493,-10.009092,-164.0761,81.700362,107.12251092945232,36.98585872185945,82.17795297999999,-1.06021832,3.637213951567087,Stop
-9.887389,0.0286837668754862,-0.2783760999999999,0.342039,0.0860215043983775,0.03021258,0.00605455658082,0.0888819,0.001779945252653,-124.47890498,-120.407544,80.436522,101.71042988,98.227929,0.442533,-8.64802532,0.0167498243279693,-9.60992006,-130.992877,79.761512,9.615668693594255,5.138058577655404,79.97221044,-1.75359736,1.814508499595376,Stop
-9.878557,0.0112925369696118,-0.3055386,0.147892,0.0566286139147755,-0.03787974,0.0005442014879922,-0.07227408,0.0003400047348673,-127.02890306,-121.795187,80.607516,102.96158714,100.138836,0.098719,-9.758537026666666,0.0081643408780751,-9.65659902,-134.268066,80.00665,17.612371127326995,5.696082696373113,80.30454104,-1.5903947,1.901522683226371,Stop
-9.907747,0.01191630102618,-0.52180886,0.033081,0.0616078616787351,-0.0130809607843137,0.0015667017569184,-0.0482623725490196,0.0008651144382949,-137.27531692,-134.904399,81.076942,112.41291952,108.956233,0.250116,-9.646018006666667,0.0298702100805184,-9.67153494,-139.214935,80.182523,0.6438242182284931,2.253188407545931,80.54212566,-1.51345476,1.1796355639037688,Stop
-10.031689,0.023543253833959,-0.3623543999999999,0.394879,0.107412151911755,-0.0160116599999999,0.0035906816610861,-0.23639644,0.0010536718363673,-140.54574794,-134.234796,82.833422,103.16552982,100.525015,0.282745,-9.684695586666667,0.0309738288153126,-9.7259528,-148.107267,81.128947,20.97517091248196,5.820984459309091,81.90148898000001,-1.3424054799999998,1.9200038103103756,Stop
-10.107431,0.0340436232449239,0.12205326,0.906814,0.1875388399801147,0.11966916,0.0042429481719738,0.3438732,0.0029942080959167,-112.51796418,-81.606755,84.804487,81.69219388,58.463958,0.657747,-9.706672873333334,0.0336450869884897,-9.72253088,-147.44712,82.862962,450.1272872290303,236.53748039756815,84.21232287999999,-1.02594248,5.470325423223947,Stop
-10.12749,0.0210711792439628,0.79972404,1.062491,0.013886192481182,0.0513607399999999,0.0013603040366044,0.04255014,0.0004423089565816,-66.84222064000001,-54.352905,83.848387,45.19295396,33.687083,0.138449,-9.724850086666669,0.0057277414755514,-9.72606658,-80.709491,82.644318,42.25126703234611,32.1419273268599,83.39671182000001,-0.74089924,3.500799167424433,Stop
-10.107881,0.0565149458194992,0.9710013137254904,1.463507,0.0644284956144596,-0.02329518,0.0073289033259873,0.20881184,0.0011456118177424,-43.40223358823529,-35.489201,85.234026,30.68316770588235,27.02869,0.743068,-9.726842480130719,0.1005723832840554,-9.731929980392158,-54.13218,82.652407,54.03750563277409,4.749308762356844,83.82889094117647,-0.5058304509803921,1.7490796323405398,Stop
-10.171049,0.035837622085633,0.72037704,1.115181,0.0375165747234269,0.01250638,0.0050119132710975,-0.0666602199999999,0.0028320036344738,-50.85089064,-36.398068,85.746508,41.15393018,27.24117,0.156347,-9.74875990013072,0.015295374558624,-9.78828314,-62.838653,81.910251,89.18914335974235,80.84563484131284,84.81437104000001,-0.78833568,4.4048349711953865,Stop
-10.394534,0.0848843232794778,1.12905414,2.320325,0.2135900110832657,-0.05852056,0.0204384789509861,-0.4023239199999999,0.0092313875702551,-60.22628092,-49.638444,83.764999,31.06505342,19.621243,0.307238,-9.73195186013072,0.1049304237555853,-9.67564246,-87.714048,80.971403,105.16746559119603,88.74484793507443,81.91537819999999,-0.3983306199999999,4.496970621097554,Stop
-10.122849,0.0388976280505306,-0.3442362,1.274001,0.4702315396800408,-0.2056643725490196,0.0101764674648784,-0.1187809411764705,0.0069159569511717,-139.32871613999998,-88.936925,85.102109,103.86746536,52.858717,0.591427,-9.721263533333333,0.1126828014026565,-9.699865,-176.212986,80.072364,657.7331393946271,543.7243303903377,82.58216399999999,-1.30856984,6.300279850897734,Stop
