Timestamp,X,Y,Z
10-Dec-2024 22:37:46.999,-0.134119,-0.007039,0.030052
10-Dec-2024 22:37:47.019,0.06957,0.046673,0.125458
10-Dec-2024 22:37:47.039,0.127215,0.248761,0.175624
10-Dec-2024 22:37:47.059,0.073308,0.389107,0.131549
10-Dec-2024 22:37:47.079,-0.072798,0.451887,0.039221
10-Dec-2024 22:37:47.099,-0.242437,0.415962,-0.016191
10-Dec-2024 22:37:47.119,-0.337835,0.267601,0.014835
10-Dec-2024 22:37:47.139,-0.328622,0.093981,0.093052
10-Dec-2024 22:37:47.159,-0.241416,-0.017404,0.11126
10-Dec-2024 22:37:47.179,-0.107615,0.122382,0.024795
10-Dec-2024 22:37:47.198,-0.004855,0.266597,-0.093207
10-Dec-2024 22:37:47.218,0.015597,0.186863,-0.135711
10-Dec-2024 22:37:47.238,-0.030398,0.043859,-0.08885
10-Dec-2024 22:37:47.258,-0.087674,0.020723,0.015467
10-Dec-2024 22:37:47.278,-0.133867,0.178303,0.13617
10-Dec-2024 22:37:47.298,-0.156487,0.31512,0.194835
10-Dec-2024 22:37:47.318,-0.1115,0.248221,0.199738
10-Dec-2024 22:37:47.338,-0.039889,0.11883,0.161785
10-Dec-2024 22:37:47.358,-0.032395,-0.036693,0.119426
10-Dec-2024 22:37:47.378,-0.145317,-0.328338,0.087991
10-Dec-2024 22:37:47.398,-0.272904,-0.446152,0.09217
10-Dec-2024 22:37:47.418,-0.364671,-0.266238,0.140702
10-Dec-2024 22:37:47.438,-0.395539,-0.010072,0.26772
10-Dec-2024 22:37:47.458,-0.386917,0.27114,0.580682
10-Dec-2024 22:37:47.478,-0.277544,0.402371,0.90909
10-Dec-2024 22:37:47.498,-0.070365,0.305807,1.161778
10-Dec-2024 22:37:47.518,0.071931,0.097449,1.238218
10-Dec-2024 22:37:47.538,-0.015559,-0.234853,1.170013
10-Dec-2024 22:37:47.558,-0.2373,-0.275085,1.082761
10-Dec-2024 22:37:47.577,-0.422196,-0.138277,0.984969
10-Dec-2024 22:37:47.597,-0.479897,-0.087996,0.976552
10-Dec-2024 22:37:47.617,-0.449552,-0.342272,1.034952
10-Dec-2024 22:37:47.637,-0.413705,-0.350245,1.124217
10-Dec-2024 22:37:47.657,-0.599105,-0.583014,0.975053
10-Dec-2024 22:37:47.677,-0.819412,-0.917982,0.730722
10-Dec-2024 22:37:47.697,-0.714052,-0.806826,0.47028
10-Dec-2024 22:37:47.717,-0.480277,-0.424435,0.262657
10-Dec-2024 22:37:47.737,-0.433757,0.053438,0.332512
10-Dec-2024 22:37:47.757,-0.509851,0.211342,0.48242
10-Dec-2024 22:37:47.777,-0.591707,-0.230766,0.597943
10-Dec-2024 22:37:47.797,-0.5785,-0.496214,0.673629
10-Dec-2024 22:37:47.817,-0.508229,-0.496384,0.519885
10-Dec-2024 22:37:47.837,-0.569019,-0.078365,0.277507
10-Dec-2024 22:37:47.857,-0.194949,0.687154,-0.070404
10-Dec-2024 22:37:47.877,-0.312778,0.702646,0.005462
10-Dec-2024 22:37:47.897,-0.141103,0.995042,-0.113277
10-Dec-2024 22:37:47.917,0.450498,0.974984,-0.119825
10-Dec-2024 22:37:47.937,0.407958,0.120122,0.12575
10-Dec-2024 22:37:47.956,0.455941,0.158932,0.146581
10-Dec-2024 22:37:47.976,0.521091,0.384024,0.123605
10-Dec-2024 22:37:47.996,1.095849,0.839706,0.299705
10-Dec-2024 22:37:48.016,1.872881,-0.163697,0.437916
10-Dec-2024 22:37:48.036,1.763474,-1.409085,0.280454
10-Dec-2024 22:37:48.056,1.063454,-0.411294,0.101046
10-Dec-2024 22:37:48.076,0.184625,1.184309,0.408032
10-Dec-2024 22:37:48.096,-0.224165,1.773496,0.537348
10-Dec-2024 22:37:48.116,0.828862,1.764461,0.106124
10-Dec-2024 22:37:48.136,1.237749,0.617628,0.260701
10-Dec-2024 22:37:48.156,0.620669,0.383078,0.46695
10-Dec-2024 22:37:48.176,-0.268654,1.011887,0.423908
10-Dec-2024 22:37:48.196,-0.521128,1.264644,0.018651
