Timestamp,X,Y,Z
10-Dec-2024 22:37:46.991,0.121248,1.392404,9.840387
10-Dec-2024 22:37:47.011,0.129181,1.513054,9.900412
10-Dec-2024 22:37:47.031,0.542771,1.602867,9.446406
10-Dec-2024 22:37:47.051,0.681084,1.795067,9.169183
10-Dec-2024 22:37:47.071,0.387394,1.898801,9.253457
10-Dec-2024 22:37:47.091,0.108824,1.845512,9.07443
10-Dec-2024 22:37:47.111,-0.254621,1.84671,8.913514
10-Dec-2024 22:37:47.131,-0.749491,1.697769,9.624386
10-Dec-2024 22:37:47.150,-0.70668,1.438359,10.129436
10-Dec-2024 22:37:47.170,-0.392184,1.362167,10.597512
10-Dec-2024 22:37:47.190,-0.265398,1.458268,10.617122
10-Dec-2024 22:37:47.210,-0.593516,1.486409,10.128538
10-Dec-2024 22:37:47.230,-0.903671,1.314267,9.547147
10-Dec-2024 22:37:47.250,-0.883912,1.066382,9.179511
10-Dec-2024 22:37:47.270,-0.754281,0.853375,9.490265
10-Dec-2024 22:37:47.290,-0.562081,0.872086,9.564061
10-Dec-2024 22:37:47.310,-0.477357,1.112038,9.6416
10-Dec-2024 22:37:47.330,-0.397873,1.229543,9.420211
10-Dec-2024 22:37:47.350,-0.487836,1.295107,8.955128
10-Dec-2024 22:37:47.370,-0.680635,1.286874,8.557704
10-Dec-2024 22:37:47.390,-0.616718,1.272204,8.768167
10-Dec-2024 22:37:47.410,-0.311652,1.079405,9.158255
10-Dec-2024 22:37:47.430,-0.325274,0.758473,9.461076
10-Dec-2024 22:37:47.450,-0.703537,0.039218,9.844279
10-Dec-2024 22:37:47.470,-0.99064,-0.397274,10.043065
10-Dec-2024 22:37:47.490,-1.385519,-0.329764,10.01208
10-Dec-2024 22:37:47.510,-1.339415,-0.112716,9.130114
10-Dec-2024 22:37:47.529,-0.98121,0.159119,8.264314
10-Dec-2024 22:37:47.549,-0.414488,0.514929,8.317304
10-Dec-2024 22:37:47.569,0.008383,0.679287,8.726852
10-Dec-2024 22:37:47.589,-0.424817,0.541723,8.954379
10-Dec-2024 22:37:47.609,-0.692161,0.423918,9.048384
10-Dec-2024 22:37:47.629,-0.695753,0.463736,8.913814
10-Dec-2024 22:37:47.649,0.229173,0.637674,8.521629
10-Dec-2024 22:37:47.669,0.647553,1.035696,9.209748
10-Dec-2024 22:37:47.689,0.776884,1.249901,10.827883
10-Dec-2024 22:37:47.709,1.049468,1.059347,11.377091
10-Dec-2024 22:37:47.729,0.607886,0.166454,11.344609
10-Dec-2024 22:37:47.749,-0.167651,-0.174986,10.61308
10-Dec-2024 22:37:47.769,0.383503,-0.108225,9.81494
10-Dec-2024 22:37:47.789,-0.193548,0.072449,9.321117
10-Dec-2024 22:37:47.809,1.311722,0.227078,11.448493
10-Dec-2024 22:37:47.829,2.206112,0.77404,11.45942
10-Dec-2024 22:37:47.849,2.628684,0.378263,11.656111
10-Dec-2024 22:37:47.869,0.495021,0.308059,9.482331
10-Dec-2024 22:37:47.888,0.291743,0.119302,8.851543
