Accel_Y_min,Accel_Y_var,Accel_Z_mean,Accel_Z_max,Accel_Z_var,Gyro_X_mean,Gyro_X_var,Gyro_Y_mean,Gyro_Z_var,Roll_mean,Roll_max,Pitch_max,Yaw_mean,Yaw_min,Encoded_Label,Gyro_Y_max,Accel_Y_rolling_mean,Gyro_Y_var,Accel_Y_mean,Roll_min,Pitch_min,Roll_var,Yaw_var,Pitch_mean,Accel_X_mean,Yaw_var_log,Label
-11.821068,6.893421498401808,0.3474214999999999,4.424948,0.9089224333811528,-0.27381704,0.3929905420737535,-0.35874128,1.0309237142281371,-71.06391492,-60.010225,82.017635,85.89836608,75.706303,1,1.656861,-2.7027486,0.7845153245950628,-6.3250639,-93.782793,15.212164,78.58976309771548,22.230034764500413,44.52597308,-6.52852084,3.1454460433158693,Turn Right
-13.2723,2.6519830983530244,0.5604022549019607,3.428321,2.169152776692953,-0.21969694,0.1472603490438943,-0.06614088,0.0928678773372738,-55.09401704,-13.271316,82.985494,80.7827419,35.954559,1,1.974051,-9.352132728235295,0.6145288319745976,-9.507537764705882,-90.615764,71.855304,513.993110472898,415.3216438071101,79.31357726,-2.569577137254902,6.031458143738497,Turn Right
-11.851754,0.599661222397489,-0.27925924,1.409918,0.2920778868770841,0.09959742,0.0073188102456771,0.51868278,0.018702094525231,-100.5472765,-89.538494,80.327192,121.2355885,115.262142,1,1.219312,-9.629967981568628,0.1229941122789506,-9.74508302,-120.197132,76.936338,60.74124294858614,12.407677423497155,78.35290994,-1.39307208,2.5958274849402594,Turn Right
-13.10869,1.977057266027225,-0.53544252,1.107247,0.4858343009359691,-0.00188616,0.0092372098966677,-0.0529361999999999,0.0077843829562861,-94.89873214,-88.93865,84.886806,127.22250022,121.568489,1,0.293839,-9.716700013333332,0.025439743876653,-9.76341686,-103.784286,83.488475,21.417426647104566,18.79353298267989,84.21717712,-1.1459659,2.985355267313159,Turn Right
-15.8691,4.006587777969341,-0.56533238,1.394799,0.6653510641960769,-0.064644,0.0135184022037551,0.0375525,0.0082589555851938,-96.01570712,-91.433699,84.343571,124.530651,122.480345,0,0.585729,-9.74109628,0.0688340056289082,-9.75609408,-101.211935,76.58635,9.37884299810377,1.5992372973987008,80.16526221999999,-1.01725158,0.9552180548383977,Turn Left
-14.410234,3.2461253745543357,-0.55346808,1.504072,0.6976885293698708,0.00347164,0.0099610680741534,0.02337928,0.0033689889080493,-91.1078933,-88.75395,83.576582,120.93042782,118.478138,1,0.475516,-9.733741586666667,0.0392826593992669,-9.66455646,-93.221927,82.844466,1.3461734189086223,1.7376175184617753,83.26003004,-0.95856166,1.0070880233396478,Turn Right
-13.489948,2.3413295840827417,-0.13305238,1.36082,0.473290390258526,-0.02943464,0.007735013926684,-0.44022722,0.0070952296859183,-12.66794524,21.263117,86.692645,-24.58635174,-39.732229,0,-0.007658,-9.822381182745097,0.0254735201851138,-10.01655856,-51.133136,81.480232,579.2361873647534,201.68166855870177,83.78842624,-1.05649698,5.311636613052122,Turn Left
-12.862452,1.4955361250726356,-0.54234024,0.425715,0.2469907052737371,-0.01448816,0.0067067493196881,-0.0220328599999999,0.0019627924047857,168.42857555999998,174.379029,84.427205,119.10115754,112.934743,0,0.236295,-9.8115677,0.0160178421435106,-9.72931776,162.604843,83.517537,15.093571116770171,13.252072749704036,83.98065654,-0.83399074,2.6569023522565254,Turn Left
-13.125156,2.024088555792,0.0049336999999999,3.863167,1.666336838208582,0.05862902,0.0479467236748771,0.23153868,0.0140179072889795,-81.44342572,-74.957787,74.523854,90.4590429,85.293067,1,1.180396,-9.892037406666667,0.0762240726839771,-10.1021804,-94.694765,72.518569,20.773855624883403,10.60463063280131,73.40580766,-1.00687216,2.4514042109390695,Turn Right
-11.856095,0.8376872972589161,0.14117744,1.75989,0.6576852445124964,0.1004671,0.0209199831293163,0.42558944,0.0146469463549208,-71.87720586,-49.230991,86.788705,110.33205,95.311639,1,1.016211,-9.875943866666667,0.069105493648782,-9.93277168,-79.440752,74.504794,42.424740073890185,68.50854610463253,79.43818105999999,-1.1167497,4.241449710545385,Turn Right
